What Goes Around,Eneko Artola
Idol,YOASOBI
アイドル,YOASOBI
Forgotten Story,"Cosmograph,Lunatic Sounds"
Weekend,Lamp
二十歳の恋,Lamp
Be Gone - Urbandawn Remix,"Rival,Urbandawn,CRVN"
Through Chains That Drag Us Downward,Xanthochroid
Of Gods Bereft of Grace,Xanthochroid
Of Strength and the Lust for Power,Xanthochroid
Walk with Me O Winged Mother,Xanthochroid
Spirits,Caravan Palace
Raintain,Sound Souler
Marigold,"M2U,グリリ"
Ya Taleb,"Koum Tara,Karim Maurice,La Camerata,Sid Ahmed Belksier"
踊り子,Vaundy
オトズレ,4na
Snakes (from the series Arcane League of Legends),"MIYAVI,PVRIS,Arcane,League of Legends"
Nature,Canine
Moongazing (Tsuki Wo Miteita),"Pealeaf,Chewie Melodies"
言って。,Yorushika
What Could Have Been feat. Ray Chen (from the series Arcane League of Legends),"Sting,Ray Chen"
Tower Light Fireworks,"iMeiden,Rachie"
Let You Down,Dawid Podsiadło
MAD,Caravan Palace
白魔法,4na
Télefoot,Luidji
Guns for Hire (from the series Arcane League of Legends),Woodkid
Yard Sale Video Game,Nesting
FACE,"Laur,Kyoko Yamate(CV:Aimi)"
空想少女,CIEL
馥郁の街,CIEL
Dommage,Bigflo & Oli
Elle pleut,"Nekfeu,Nemir"
Elle,SNIPER
A l'ammoniaque,PNL
La rose et l'armure,Antoine Elie
Ordinary days,milet
おもかげ (produced by Vaundy),"milet,Aimer,Lilas Ikuta"
Anytime Anywhere,milet
Fire Emblem: Three Houses Main Theme,Alex Moukala
Shambhala,"FamilyJules,A_Rival"
The Edge of Dawn,"FamilyJules,Adriana Figueroa"
Goddess in Shadow,Dethraxx
Defective (From  Fire Emblem Engage ),Dethraxx
Lost in Thoughts All Alone (From  Fire Emblem Fates ),AmaLee
IDOL (from  Oshi no Ko ),AmaLee
Epilogue: Embrace,Seycara Orchestral
CASTLE OF GLASS,Linkin Park
You're Mine,Carpenter Brut
TICTAC,CAPSULE
Birdland,Weather Report
Zzz (Bossa Nova Version),Sayaka Sasaki
Snacko Island Party! (Snacko Island Remix),"Dale North,Camellia"
Fear of Falling Asleep,TENDER
MANIFEST,STARSET
STRATOSPHERE,STARSET
WHERE THE SKIES END,STARSET
My Demons,STARSET
Define,Zekk
フリーフォール,Zekk
Sidewalk Cafe,Sakuzyo
Scarborough Fair,山田タマル
Equilibrium,Maozon
The Promise (Serah's Theme),Pealeaf
BURU,4na
The Ascent,Caligula's Horse
前夜,4na
Ashley,Escape the Fate
The Scandinavian Dream,Self Deception
Frozen,Rain City Drive
Never Be The Same,Red
Out From Under,Red
Shoulders,Coheed and Cambria
Fight Inside,Red
Death of Me,Red
Together as One Tonight,Shaft of Steel
if you chase two rabbits,OKAY! KENJI
Luv (sic.) pt3 (feat. Shing02),"Nujabes,Shing02"
The Sky Is Red,Leprous
Leashes,Leprous
Captive,Leprous
From the Flame,Leprous
Stuck,Leprous
Bonneville,Leprous
Illuminate,Leprous
Invasion,Haken
Can't Stop,Red Hot Chili Peppers
Fairydust,"tokiwa,晴月"
Haze,"Hiromi,Anthony Jackson,Simon Phillips"
The TIDES - 《时光代理人第二季》动画片尾曲,"饭卡,BaishaJAWS"
Isabella's Lullaby (from  The Promised Neverland ),AmaLee
Cold Sweat,Axel Mansoor
シルシ,LiSA
Swirls of Shamshir,HOYO-MiX
BONVOYAGE,Dreamcatcher
Don’t Wanna Go Back (Duet with Heize),"JIHYO,HEIZE"
마법의 낮,반설희
Bright Purity,"NU: Carnival,Tomoyo,tetsuyanao,Ken Ken,Frostie Nightshore"
BYOB (bring your own best friend),Billlie
Pure Blood,달의하루
Crush,KAIYI
NEON 1989,YUKIKA
REWIND,TWICE
Casket,Ren Zotto
Stupid Love Song,Morrie
Love & Pain,LYRE
Round and Around,JO YURI
Replay,Iyaz
Clair De Lune,Claude Debussy
Shizuka,"Deniz Akbulut,Shogo Nomura"
To Cross the Seas,Eli Rainsberry
Mystery of Love,Sufjan Stevens
On My Knees,"Adib Sin,Moon Jelly"
Myself,"Adib Sin,rosarrie"
Reasons,"Adib Sin,Chevy"
Fated,"Adib Sin,Hikaru Station"
Reflectionless,"Pretty Patterns,シャノン・SHANNON,Aegl"
LOTTER,Pretty Patterns
Serenity,Pretty Patterns
A Glimpse of the Abyss,"Pretty Patterns,xia"
SPLEENPOP,"Pretty Patterns,vally.exe"
Wish...,"Emi Evans,Kumi Tanioka"
Simple Folds,Pretty Patterns
VOIDS,"Pretty Patterns,vally.exe"
PROXIMA,"Pretty Patterns,Kazari Tayu,Enna Alouette"
Ataraxia,Pretty Patterns
Endless Dreams (Instrumental),Night Keepers 
斜陽,Yorushika
Great Wide Unknown (Imposter Factory),Pealeaf
Wildfire (Cocolia Boss Theme),"Pealeaf,Chewie Melodies"
Close In The Distance (Endwalker),"Pealeaf,Chewie Melodies"
What Is Yours,Pealeaf
The Edge of Dawn,"ROZEN,REVEN"
Like the Movies,Laufey
Just the Two of Us (feat. Bill Withers),"Grover Washington, Jr.,Bill Withers"
A l'ammoniaque,PNL
CHAOS CONSTRUCT,AZALI
君をのせて,"Ayaki,Hamish Smith,Ofri Nehemya"
With a Gentle Heart,Ayaki
Arctic Circle,Ayaki
The Beginning,Eyemedia
Dreamscape,Seycara Orchestral
Day of Rest,Yasuhisa Inoue
Edge of Dawn (A Fire Emblem Orchestration),Rush Garcia
It's Just Like Dancing,Rush Garcia
walk,Tatsuya Maruyama
Gertie on a Rainy Day,watson
Sylvan Blessing,Elliot Hsu
Blurred Distance,Chamber Chu
Monochrome Prologue,Asami Tachibana
Courtroom Lobby,insaneintherainmusic
Arcane Refuge (Home),Ayaki
Feel Good Inc.,Gorillaz
Fireflies,Owl City
CORRUPTED AUTOMATA,AZALI
Éducation sentimentale,Maxime Le Forestier
Va Où Tu Veux,Daniel Guichard
Le sud,Nino Ferrer
T'En Souviens-Tu Marie-Hélène,Daniel Guichard
Les Secondes,Daniel Guichard
L'encre de tes yeux - Remastered,Francis Cabrel
L'Italien,Serge Reggiani
Une belle histoire,"Michel Fugain,Le Big Bazar"
Quand Marie,Daniel Guichard
La montagne,Jean Ferrat
Ne me quitte pas,Jacques Brel
Aimer à perdre la raison,Jean Ferrat
Armstrong,Maurane
Fly Me To The Moon,Frank Sinatra
First Date,"Adib Sin,Hikaru Station"
Cristalisia,Onoken
Collapse,"Laur,Nakuru Aitsuki"
Toward Truth and Reconciliation,Xanthochroid
Ivory,Nyarons
Summer Dream,"Kirara Magic,Chevy"
Airwaves,"Adib Sin,Azuria Sky,B. L. Hav"
Saturnine,"City Girl,keshi"
Song of Truth,"Street,杠葉えりか"
Flash Me Back,Camellia
Fate,Street
光るなら,Goose house
Blooming Afternoon,ミツキヨ
daidai naru,chouchou merged syrups.
Just the Two of Us (feat. Bill Withers) - Edit,"Grover Washington, Jr.,Bill Withers"
Other Side,MIYAVI
TOMOSHIBI,nonoc
BERSERKER,IRyS
Nightmares & Flare Guns,Seb Adams
Neppa,"tephe,Butter"
ブレーメン,Yorushika
Dernière danse,Kyo
Lady Mélody,Tom Frager
Be Somebody,Thousand Foot Krutch
Il pleut,m@sumi
"Cantique de Jean Racine, Op. 11","Gabriel Fauré,Stephen Cleobury,Choir of King's College, Cambridge,Tom Etheridge"
Last - Moment,Onoken
Sanctuary,satella
Fortuna,Powerless
Last - Eternity,Onoken
ARTEMiS,BlackY
Arcane Refuge (Home),Dale North
Wizard of Legend (Title),Dale North
Blood,Breaking Benjamin
Flashback,ARForest
Reasons,"Sta,XI"
Remember Remember - Piano Arr.,"rino,m@sumi"
Dying Light,"Metrik,ShockOne"
Better Than Gold,"Justin Hawkes,Andrew Hellier"
Laminated E.T. Animal,Destroy Rebuild Until God Shows
This Is The House That Doubt Built,A Day To Remember
Intoxicated,Now And On Earth
Crash,Fit For Rivals
化作青煙 (さくらひらり),"Tomo,陰陽師 Onmyoji"
Revolt from the abyss,Noah
知らないままで,ロクデナシ
Mimosa,Nyarons
Summoning 101 - Key Ingredient ver. - Instrumental,Mili
永遠のあくる日,Ado
シグナル - English Ver.,Beverly
少女前线: 熵减焓增 - Schicksal,"Vanguard Sound,Moto,D.Yi,赛博传媒-2064,kinoko蘑菇"
Eternal Flame,"塞壬唱片-MSR,Obadiah Brown-Beach,Forts"
Shadow Call,"WHITEFISTS,Sennzai"
Antinømia,WHITEFISTS
Celebrity,DooPiano
Rollin',DooPiano
Lilac,DooPiano
Violeta,DooPiano
CROWN,DooPiano
HANN,DooPiano
One Of These Nights,DooPiano
Thanks,DooPiano
Heartbeat,DooPiano
Run Away,DooPiano
MORE & MORE,DooPiano
SOLO,DooPiano
As If It's Your Last,DooPiano
The Truth Untold,DooPiano
Euphoria,DooPiano
Likey,DooPiano
Answer,DooPiano
Love Shot,DooPiano
Secret Garden,DooPiano
Melting,DooPiano
Don't Wanna Cry,DooPiano
Don't Know What To Do,DooPiano
4 O'Clock,DooPiano
Wannabe,DooPiano
Fake Love,DooPiano
Ice Cream,DooPiano
I Can't Stop Me,DooPiano
Panorama,DooPiano
Stay Gold,DooPiano
Downpour,DooPiano
Forever Young,DooPiano
Psycho,DooPiano
Feel Special (Sad Ver.),DooPiano
Lovesick Girls,DooPiano
Into The New World,DooPiano
Spring Day (Orchestra Version),DooPiano
Butter - Piano Cover,DooPiano
Tournament Round 2 (From  Mario Tennis ),Daniel Tidwell
dreamy night,LilyPichu
Endless Dreams (Midnight Ver.),Night Keepers 
Anthem of Dawn,"DENONBU,日高零奈 (CV: 蔀 祐佳)"
N.A.M.E,Punishing Gray Raven
A Long Vacation,"塞壬唱片-MSR,Adam Gubman,Caity Gyorgy"
VON,"Pretty Patterns,Emi Evans"
Take It Away,Koven
On The Weekend,"Solomon France,Oli Scott"
Regret,Apparition
Better Now,"Hybrid Minds,Lily Denning"
Used To This,"Wilkinson,Issey Cross"
Big City Life,"Luude,Mattafix"
When The Sun Goes Down,"1991,Tom Cane"
Off The Ground,Sub Focus
Chrysalis,Ying -莺
Hikari - 游戏《战双帕弥什: 九龙环城》主题曲,"Vanguard Sound,GhostFinal"
Sparks of Joy,IRyS
Tether,"Xeuphoria,Ramita Arora"
私は最強 - ウタ from ONE PIECE FILM RED,Ado
逆光 - ウタ from ONE PIECE FILM RED,Ado
夜のピエロ,Ado
過学習,Ado
心という名の不可解,Ado
阿修羅ちゃん,Ado
ギラギラ,Ado
FREEDOM,Ado
会いたくて,Ado
Flow (Endwalker),"Pealeaf,Chewie Melodies"
マザーランド,Ado
花夢ピエロ,"Vanguard Sound,RabbitJ,赛博传媒-2064,夏铜子"
六月,Akie
瞬き,DAZBEE
Sea Temple,Pearlish
遊生夢死,Akuya
In the Balance Nald'thal Theme,"Chewie Melodies,Pealeaf"
Elfridean Stories,Elliot Hsu
A Moment of My Nightmare - 游戏《少女前线》2021冬活  镜像论  主题歌,"Vanguard Sound,Haloweak,D.Yi,赛博传媒-2064,J'Nique Nicole"
Radiant,"塞壬唱片-MSR,Erik Castro,Mary Clare"
Endwalker Footfalls,"Chewie Melodies,Pealeaf"
Navy,"WaMi,Yunosuke,Harumakigohan"
Happiness,NANO
花雨,THE SxPLAY
fullmoon lullaby,"goodnight lavender,Nila"
Chase It,"WRLD,Savoi"
Something Comforting,"James Ivy,Porter Robinson"
Revive (Aiobahn Remix),"LIONE,Aiobahn"
tell me!,Gremwave
Fragments,"League of Legends,TANUKI"
Good Enough?,"Gremwave,Bianca Mae"
Oceans,Rogue
Birds of time,Enna Alouette
Biscuit Funk,Snail's House
Everything Goes On,"Porter Robinson,League of Legends"
Odyssey,Scale The Summit
Rules of Nature - Platinum Mix,Jason Charles Miller
Chorale Bloom,MVS
Glacial white,Noah
7 PM (Animal Crossing),"Tudd,General Offensive,GameChops"
Same About You,A Day To Remember
Turn Off The Radio,A Day To Remember
Faint,Linkin Park
Numb,Linkin Park
Last 7 Letters,oneohkay
Atmosphere,Stessie
parallel skydive,AAAA
The Nights,Avicii
Gloomy Flash,"Zekk,poplavor,mami"
Cross†Soul,"HyuN,Syepias"
One Way Street,siqlo
虚空の夢,"ak+q,Sennzai"
Shin Takarajima,Lefty Hand Cream
Ending Song - The Promise of the World - Merry-Go-Round of Life,Chieko Baisho
Mary's Theme,村松祟継
Why Don't You Get It?,Mina Kubota
Theme Variation Abe-kun,Katsu Hoshi
The Marsh House,Takatsugu Muramatsu
Main Theme,Katsu Hoshi
The Last Page,ARForest
Reignite,"Cosmograph,Lunatic Sounds"
message within the rift (Arcien Remix),"Akira Complex,kors k"
雲雀,Street
異人たちの時間,メリダ=アンジェル(CV.楠木ともり)
フリージア,Uru
One Summer Day,Joe Hisaishi
時の横顔,Junichi Matsumoto
The Ancient Magus Bride's Main Theme,Junichi Matsumoto
Sky,JUNNA
auro nowe,inocencia
リベロアーラ,Miu Sakamoto
君の行方,KOCHO
Story,Kotringo
花数え,新居昭乃
月のもう半分,"AIKI,AKINO from bless4"
環-cycle-,Itoki Hana
Here,JUNNA
departure! -second version- (TVサイズ),Masatoshi Ono
Clear For Takeoff - Bonus Track,Fat Bard
Let's End This... (From  Sword of the Necromancer ),"Dale North,Emi Evans,Sinesita"
Wizard's Wail (Launch Trailer),Dale North
Tout va bien,Orelsan
Tout va bien (Remix) [feat. Eugy & Kojo Funds],"Orelsan,Eugy Official,Kojo Funds"
Ensemble,"Orelsan,Skread"
Athéna,Orelsan
La terre est ronde,Orelsan
La Quête,Orelsan
Jour meilleur,Orelsan
Guerilla,Soolking
Guerilla - Remix - Bonus Track,"Soolking,Sofiane,GIMS"
VIOLET,Ninomae Ina’nis
Great Distance,"ryo (supercell),Chelly"
RISE,VESPERBELL
月と十六夜 (feat.ナノ & 岸田教団&THE明星ロケッツ),"東方LostWord,NANO,KISIDA KYODAN & THE AKEBOSI ROCKETS"
反逆者の僕ら,EMA
Horn,"Ujita Mai,40mP"
Galaxy Anthem,ディーヴァ(Vo.八木海莉)
エガオノカナタ,"Chiho,majiko"
Kodou,KaguraNana
Kimi Sketch,amehurashi
KokodeIkiteru,"MARY,jon-YAKITORY"
Duel of Legend (Final Boss),Dale North
Duel (Boss),Dale North
Shuu's Spire (Air),Dale North
Zeal's Forge (Fire),Dale North
Atlas's Terrace (Earth),Dale North
Freiya's Cage (Ice),Dale North
Wizard of Legend (Title),Dale North
Arcane Refuge (Home),Dale North
Aliens,JiLL-Decoy association
ライラ,LONGMAN
鏡面の波 - [Orchestra Ver.],YURiKA
耳わほう,麦吉_Maggie
Circle of Karma,"FUZI,MAAS"
生命線,ReoNa
Let It Mend,New New Girlfriend
窓を開けて,CIEL
oddloop,Keina Suda
トワイライト・ファズ TV size,THIS IS JAPAN
空と虚,sasanomaly
Androgynos (Full Phase),WAiKURO
Unveil,Powerless
Sakura Fubuki,Street
City Of Stars (Humming),"Justin Hurwitz,Emma Stone"
The End,Justin Hurwitz
Audition (The Fools Who Dream),Emma Stone
Epilogue,Justin Hurwitz
Engagement Party,Justin Hurwitz
Summer Montage / Madeline,Justin Hurwitz
Planetarium,Justin Hurwitz
City Of Stars,Ryan Gosling
City Of Stars - From  La La Land  Soundtrack,"Ryan Gosling,Emma Stone"
Mia & Sebastian’s Theme,Justin Hurwitz
Herman’s Habit,Justin Hurwitz
A Lovely Night,"Ryan Gosling,Emma Stone"
Someone In The Crowd,"Emma Stone,Callie Hernandez,Sonoya Mizuno,Jessica Rothe"
Another Day Of Sun,La La Land Cast
Mercy,Shawn Mendes
Thunder,Imagine Dragons
Warriors,Imagine Dragons
In the End,Linkin Park
I Don't Wanna Know,Jared Munzie
Believer,Imagine Dragons
Journey(Remake Ver.),ARForest
Sthenno,BlackY
Online Shelter,"YOU,Kijibato,Kiichigo"
Kaori no Yaruki Switch!,Foxtail-Grass Studio
Lost Memory,Sakuzyo
Ikaros,"ETIA.,Jenga"
Countdown,Imy
Unrequited,Sennzai
Freezing Rose,Sennzai
Swelling,Sennzai
The Sound Which Has No Name,Xanthochroid
Through Caverns Old and Yawning,Xanthochroid
In Deep and Wooded Forests of My Youth,Xanthochroid
Parhelion,Ihlo
Of Aching Empty Pain,Xanthochroid
Prover,milet
Abyss,"Cosmograph,Lunatic Sounds"
Essence of Twilight,ak+q
Legend,"Cosmograph,Lunatic Sounds"
Infinity Heaven,HyuN
Des gueules à fermer,Alexis Robino
World Requiem,WHITEFISTS
Defenestration (feat. Alexander Andersen),"Owane,Alexander Andersen"
Rube Goldberg Variations,Thank You Scientist
Universe in a Crayon,David Maxim Micic
Purge Me,Earthists.
Memories,"tokiwa,Sennzai"
The Midnight,Cosmograph
Paradise,Sound Souler
Nightmare,"Cosmograph,Lunatic Sounds"
Utopia,"Cosmograph,Lunatic Sounds"
Define,Zekk
Invitation,Cosmograph
Blue Rose,Cosmograph
When I See You Smile,Pete Masitti
I'm Just A Man,"Pete Masitti,John Andrew Barrow"
Is It Just The Way,"Pete Masitti,John Andrew Barrow"
I Wanna Believe,Pete Masitti
We Are Champions,"Pete Masitti,John Andrew Barrow"
Last Train Home ~ still far,REMEDIOS
The Inevitable,Osatia
Anxiety,Osatia
Meet Me at Starlight Drive In,"We Set Signals,Osatia"
Cancer,Osatia
We Care - Acoustic,Osatia
Lose My Number,Osatia
Together,Osatia
All in Time,Osatia
Find Peace,Osatia
Flourish,Osatia
For Sure,American Football
Uncomfortably Numb (feat. Hayley Williams),"American Football,Hayley Williams"
Never Meant,American Football
Annihilator,"Cosmograph,Lunatic Sounds"
Dement After Legend,"Cosmograph,Lunatic Sounds"
Lisrim,Onoken
Ramua (Remake),Onoken
Alexandrite,Onoken
felys - final remix,Onoken
Anhedonia,a_hisa
オレンジ,7!!
Yuujin A,Tifita
光るなら,Goose house
星のオーケストラ,saji
夜を越える足音,Mitei no Hanashi
Dark spiral journey,"Q-MHz,Yuko Suzuhana"
七色シンフォニー,COALAMODE.
Again,Torby Brand
Watashi no Uso (From  Your Lie in April ) [Piano Solo],Fonzi M
My Truth ~Rondo Capriccioso~ (From  Your Lie in April ) [Piano Solo],Fonzi M
Your Lie in April Piano Medley: Watashi no Uso / Otouto Mitai wa Sonzai / My Truth ~Rondo Capriccioso~ / Again,Fonzi M
Shigatsu Wa Kimi No Uso - Otouto Mitai na Sonzai,Kenzie Smith Piano
Orange (From  Your Lie in April ) [Piano Arrangement],HalcyonMusic
Uso To Honto,Cat Trumpet
Kujikesou ni Naru Watashi wo Sasaete Kudasai (From  Your Lie in April ) [2020 Performance],Moisés Nieto
Shigatsu Wa Kimi No Uso - Hikaru Nara [Soft Version],Kenzie Smith Piano
Presence (From  Your Lie in April ),Torby Brand
Hoshi Wa Yoru Kagayakunda Ze,Cat Trumpet
Nanairo Symphony (From  Your Lie in April ) [Piano Arrangement],HalcyonMusic
THIS ILLUSION,LiSA
KOE,ASCA
Collage,Sangatsu no Phantasia
Asterism,ChouCho
星が降るユメ,Eir Aoi
黄金の輝き,ReoNa
Dokuhaku,Maaya Sakamoto
Prover,milet
kagami,ChouCho
MEMORIA,Eir Aoi
ヒカリ,樹海
透明,Mamoru Miyano
薄紅の月,ChouCho
あなたがいた森,樹海
moving soul,Kuribayashi Minami
ARCADIA,Earthmind
雲のかけら,タイナカ サチ feat.樹海
With...,樹海 feat.タイナカ サチ
oath sign,LiSA
ring your bell (in the silence),Kalafina
starlog,ChouCho
ASH,LiSA
kaleidoscope,ChouCho
Brave Shine,Aimer
The Worst,Polyphia
We'll Be A Dream (feat. Demi Lovato),"We The Kings,Demi Lovato"
I'm Just a Kid,Simple Plan
Trouble Is...,All Time Low
Without You,Parachute
I Wouldn't Mind,He Is We
"January Gloom (Seasons, Pt. 1)",All Time Low
Hey There Delilah,Plain White T's
La La Lainey,Forever The Sickest Kids
Nocturne No 2 In E Flat Major Op 9 No 2,Alexis Weissenberg
An Unwelcome Friend (Arr. M. Riesman & N. Muhly for Solo Piano),"Philip Glass,Nicolas Horvath"
Adore You,Harry Styles
Year 3000,Busted
The Ellie Badge,Michael Giacchino
Mon vieux,Daniel Guichard
Here It Goes Again,OK Go
A Thousand Ways (Acoustic),Phoebe Ryan
Catching Feelings - Stripped,"Inigo Pascual,Moophs"
Mr. Blue Sky,Electric Light Orchestra
Can We Dance,The Vamps
In the End,Linkin Park
Scumbag (feat. blink-182),"Goody Grace,blink-182"
Fireflies,Owl City
Gives You Hell,The All-American Rejects
Too Good - Acoustic,Breathe Carolina
Work,Jimmy Eat World
Rhythm Of Love,Plain White T's
Baby Blue Eyes,A Rocket To The Moon
Why Don't You Love Me (feat. Demi Lovato),"Hot Chelle Rae,Demi Lovato"
Soldiers,Otherwise
Smells Like Teen Spirit,Nirvana
